work_id,author_id,author_rank,is_corresponding,std_points
W0108,王嘉莹,5,0,1
W0108,朱高层,6,0,1
W0108,陈凌云,7,0,1
W0109,王露露,1,0,1
W0109,沙磊,2,0,1
W0109,楚楚,3,0,1
W0110,袁建明,1,0,1
W0110,魏叶,2,0,1
W0110,宋冰洁,3,0,1
W0110,孙斌,4,0,1
W0111,秦铖,1,0,1
W0111,梁如悦,2,0,1
W0111,廉丽华,3,0,1
W0111,魏叶,4,0,1
W0111,季霄雷,5,0,1
W0112,茅鑫铃,1,0,1
W0112,糜跃萍,2,0,1
W0112,蔡波,3,0,1
W0112,林玲,4,0,1
W0112,王宇琦,5,0,1
W0112,徐红,6,0,1
W0113,严炳清,1,0,1
W0113,王彧超,2,0,1
W0113,黄爱龙,3,0,1
W0113,靳秀秀,4,0,1
W0113,徐秦,5,0,1
W0113,许海燕,6,0,1
W0114,蔡娟,1,0,1
W0114,徐红,2,0,1
W0114,楚楚,3,0,1
W0114,韩颖颖,4,0,1
W0114,赵春燕,5,0,1
W0114,林玲,6,0,1
W0114,韩亚蓉,7,0,1
W0114,王宇琦,8,0,1
W0114,蔡波,9,0,1
W0115,许波银,1,0,1
W0115,李娴,2,0,1
W0115,许海燕,3,0,1
W0115,张海峰,4,0,1
W0115,张弦,5,0,1
W0115,曹玲,6,0,1
W0115,宋培琴,7,0,1
W0115,褚少朋,8,0,1
W0115,袁咏梅,9,0,1
W0116,韩颖颖,1,0,1
W0116,蔡波,2,0,1
W0116,林玲,3,0,1
W0116,周金意,4,0,1
W0116,陶然,5,0,1
W0116,缪伟刚,6,0,1
W0116,韩仁强,7,0,1
W0117,仇越,1,0,1
W0117,薛星帆,2,0,1
W0117,张苗苗,3,0,1
W0117,陆仁飞,4,0,1
W0117,张义全,5,0,1
W0117,周敏,6,0,1
W0118,朱星辰,1,0,1
W0118,安娜,2,0,1
W0118,黄建萍,3,0,1
W0118,陈睿,4,0,1
W0118,任庆新,5,0,1
W0119,李媛,1,0,1
W0119,袁泉,2,0,1
W0119,陈宇洁,3,0,1
W0119,翟云鹏,4,0,1
W0119,袁建明,5,0,1
W0120,焦雪丽,1,0,1
W0120,张鑫,2,0,1
W0120,杨惠,3,0,1
W0120,苏婧,4,0,1
W0121,徐中良,1,0,1
W0121,茹福霞,2,0,1
W0121,朱平,3,0,1
W0122,张歌行,1,0,1
W0122,陈海珍,2,0,1
W0122,蔡波,3,0,1
W0122,林玲,4,0,1
W0122,糜跃萍,5,0,1
W0122,韩颖颖,6,0,1
W0122,陈永胜,7,0,1
W0122,杨艳蕾,8,0,1
W0122,钱赟,9,0,1
W0122,茅丽婷,10,0,1
W0122,陈建国,11,0,1
W0123,陈璐,1,0,1
W0123,季霄雷,2,0,1
W0123,张吴宏,3,0,1
W0123,陈诗瑶,4,0,1
W0123,梁如悦,5,0,1
W0123,蔡秀丽,6,0,1
W0124,秦铖,1,0,1
W0124,王彧超,2,0,1
W0125,任庆新,1,0,1
W0125,安娜,2,0,1
W0125,黄建萍,3,0,1
W0125,陈睿,4,0,1
W0125,张卫兵,5,0,1
W0125,吴越,6,0,1
W0126,周绍娟,1,0,1
W0127,徐红,1,0,1
W0127,楚楚,2,0,1
W0127,糜跃萍,3,0,1
W0127,肖静,4,0,1
W0127,李勇,5,0,1
W0128,苗峻峰,1,0,1
W0128,魏叶,2,0,1
W0128,鲍超,3,0,1
W0129,孙晴,1,0,1
W0129,王小平,2,0,1
W0129,符剑,3,0,1
W0129,杨小梅,4,0,1
W0129,陈骥,5,0,1
W0129,张荣荣,6,0,1
W0130,樊欢,1,0,1
W0130,李明阳,2,0,1
W0130,石平,3,0,1
W0130,曹子轩,4,0,1
W0130,许倩,5,0,1
W0130,嵇红,6,0,1
W0131,戴垚垚,1,0,1
W0131,陆荣荣,2,0,1
W0131,鲍超,3,0,1
W0131,魏叶,4,0,1
W0132,郭新颖,1,0,1
W0132,戴志英,2,0,1
W0132,陈峰,3,0,1
W0132,顾俊,4,0,1
W0132,谢超,5,0,1
W0132,张茹月,6,0,1
W0133,毛叶挺,1,0,1
W0133,周萍,2,0,1
W0133,宋琳萍,3,0,1
W0133,周志文,4,0,1
W0134,茅春辉,1,0,1
W0134,任彦霖,2,0,1
W0134,陆春花,3,0,1
W0134,尹仕伟,4,0,1
W0135,钱磊,1,0,1
W0136,袁建明,1,0,1
W0136,翟云鹏,2,0,1
W0136,焦雪莉,3,0,1
W0136,张鑫,4,0,1
W0136,苏婧,5,0,1
W0137,刘海琴,1,0,1
W0137,时正贤,2,0,1
W0137,宋琳萍,3,0,1
W0138,郭新颖,1,0,1
W0138,陈峰,2,0,1
W0139,邱照,1,0,1
W0140,帅小博,1,0,1
W0140,陈彬,2,0,1
W0140,余雯,3,0,1
W0140,韩颖颖,4,0,1
W0140,季霄雷,5,0,1
W0141,顾婷,1,0,1
W0141,廉丽华,2,0,1
W0141,金红梅,3,0,1
W0141,蒋涛,4,0,1
W0141,顾晓红,5,0,1
W0141,陈杰,6,0,1
W0142,陈铭睿,1,0,1
W0142,陈海珍,2,0,1
W0142,蔡波,3,0,1
W0142,林玲,4,0,1
W0142,糜跃萍,5,0,1
W0142,韩颖颖,6,0,1
W0142,凡丽芸,7,0,1
W0142,张爱红,8,0,1
W0142,王书兰,9,0,1
W0142,徐红,10,0,1
W0142,陈建国,11,0,1
W0143,潘一茹,1,0,1
W0143,邱涛,2,0,1
W0143,马平,3,0,1
W0143,周小毅,4,0,1
W0143,丁萍,5,0,1
W0143,陈彦君,6,0,1
W0143,姜洁,7,0,1
W0143,何楚,8,0,1
W0143,钱姣,9,0,1
W0143,孔泉,10,0,1
W0143,邹美银,11,0,1
W0143,翟祥军,12,0,1
W0144,苗轲,1,0,1
W0144,高旭,2,0,1
W0144,曹亚强,3,0,1
W0144,石莹,4,0,1
W0144,顾雯,5,0,1
W0144,杨辉,6,0,1
W0144,陈圆圆,7,0,1
W0144,唐宋,8,0,1
W0145,谢超,1,0,1
W0145,平文卉,2,0,1
W0145,杨娟,3,0,1
W0145,陈峰,4,0,1
W0145,程晓宏,5,0,1
W0146,杨祝全,1,0,1
W0146,周小毅,2,0,1
W0146,朱平,3,0,1
W0146,夏宏丽,4,0,1
W0146,马平,5,0,1
W0146,庄勋,6,0,1
W0147,孙华闽,1,0,1
W0147,黄建萍,2,0,1
W0147,安娜,3,0,1
W0147,郭新颖,4,0,1
W0147,段伟平,5,0,1
W0147,谭维维,6,0,1
W0148,任庆新,1,0,1
W0148,张卫兵,2,0,1
W0148,黄建萍,3,0,1
W0148,安娜,4,0,1
W0148,柴婧,5,0,1
W0149,赵婧,1,0,1
W0149,顾丽群,2,0,1
W0149,刘海琴,3,0,1
W0150,鞠佩峰,1,0,1
W0150,王小亮,2,0,1
W0150,周小毅,3,0,1
W0150,黄建萍,4,0,1
W0151,张茹月,1,0,1
W0151,谢超,2,0,1
W0151,张璐璐,3,0,1
W0151,于文斌,4,0,1
W0151,郭新颖,5,0,1
W0152,郭新颖,1,0,1
W0152,潘少聪,2,0,1
W0152,孙华闽,3,0,1
W0152,谢超,4,0,1
W0152,戴志英,5,0,1
W0152,张茹月,6,0,1
W0153,陈宇洁,1,0,1
W0153,翟云鹏,2,0,1
W0153,姚育楠,3,0,1
W0153,李媛,4,0,1
W0153,袁建明,5,0,1
W0154,谭维维,1,0,1
W0154,焦曼,2,0,1
W0154,孙华闽,3,0,1
W0154,安娜,4,0,1
W0154,朱星辰,5,0,1
W0154,史湘铃,6,0,1
W0155,顾红,1,0,1
W0155,吴明,2,0,1
W0155,司聪聪,3,0,1
W0155,廉丽华,4,0,1
W0155,金红梅,5,0,1
W0156,陈睿,1,0,1
W0156,安娜,2,0,1
W0156,张卫兵,3,0,1
W0156,黄建萍,4,0,1
W0156,任庆新,5,0,1
W0157,李莉,1,0,1
W0157,卫青青,2,0,1
W0157,蔡秀丽,3,0,1
W0157,陈诗瑶,4,0,1
W0158,侯沙沙,1,0,1
W0158,顾俊,2,0,1
W0158,何智敏,3,0,1
W0158,顾心逸,4,0,1
W0158,黎源,5,0,1
W0158,许滋宁,6,0,1
W0159,何丰翼,1,0,1
W0159,张璐璐,2,0,1
W0159,杨娟,3,0,1
W0159,于文斌,4,0,1
W0160,于文斌,1,0,1
W0160,张璐璐,2,0,1
W0160,杨娟,3,0,1
W0160,何丰翼,4,0,1
W0160,翟云鹏,5,0,1
W0161,谢超,1,0,1
W0161,程晓宏,2,0,1
W0161,赵坚,3,0,1
W0161,杨娟,4,0,1
W0161,张萍,5,0,1
W0162,郭新颖,1,0,1
W0163,李明阳,1,0,1
W0163,程晓庆,2,0,1
W0163,魏叶,3,0,1
W0163,樊欢,4,0,1
W0163,张雪峰,5,0,1
W0163,鲍倡俊,6,0,1
W0163,尚庆香,7,0,1
W0163,嵇红,8,0,1
W0164,顾婷,1,0,1
W0164,陈杰,2,0,1
W0164,廉丽华,3,0,1
W0164,金红梅,4,0,1
W0164,顾晓红,5,0,1
W0164,蒋涛,6,0,1
W0164,高兴,7,0,1
W0164,史梦琪,8,0,1
W0164,柏建岭,9,0,1
W0165,王宇琦,1,0,1
W0165,黄捷,2,0,1
W0165,徐红,3,0,1
W0165,蔡波,4,0,1
W0165,韩颖颖,5,0,1
W0165,陈铭睿,6,0,1
W0165,林玲,7,0,1
W0166,蔡波,1,0,1
W0166,徐红,2,0,1
W0166,林玲,3,0,1
W0166,陈建国,4,0,1
W0166,朱健,5,0,1
W0166,韩颖颖,6,0,1
W0167,潘少聪,1,0,1
W0167,侯晓艳,2,0,1
W0167,刘毛毛,3,0,1
W0167,韩颖颖,4,0,1
W0167,徐红,5,0,1
W0167,林玲,6,0,1
W0167,蔡波,7,0,1
W0168,林玲,1,0,1
W0168,韩亚蓉,2,0,1
W0168,韩颖颖,3,0,1
W0168,徐红,4,0,1
W0168,蔡波,5,0,1
W0169,曹亚强,1,0,1
W0169,苗轲,2,0,1
W0169,高旭,3,0,1
W0169,俞建霞,4,0,1
W0169,许滋宁,5,0,1
W0169,陈圆圆,6,0,1
W0170,姚玮,1,0,1
W0170,赵子耀,2,0,1
W0170,许晨,3,0,1
W0170,袁林,4,0,1
W0171,戴志英,1,0,1
W0171,杨清华,2,0,1
W0171,郭新颖,3,0,1
W0171,平文卉,4,0,1
W0171,张颖茜,5,0,1
W0172,袁林,1,0,1
W0172,杨丹彤,2,0,1
W0172,邱照,3,0,1
W0172,赵子耀,4,0,1
W0173,楚楚,1,0,1
W0173,陈海珍,2,0,1
W0173,蔡波,3,0,1
W0173,林玲,4,0,1
W0173,糜跃萍,5,0,1
W0173,韩颖颖,6,0,1
W0173,韩建周,7,0,1
W0173,张爱红,8,0,1
W0173,王书兰,9,0,1
W0173,徐红,10,0,1
W0173,陈建国,11,0,1
